Geneid	wt-phage-35_R1	wt-phage-35_R3	wt-phage-35_R4	wt-phage-35_R5	wt-phage-60_R1	wt-phage-60_R2	wt-phage-60_R3	wt-phage-60_R4	wt-phage-120_R1	wt-phage-120_R2	wt-phage-120_R3	wt-phage-120_R4	Entity	Symbol	is_outlier	outlier_info
gene-R0792_RS10470	5	7	6	1	2	5	6	6	5	2	7	6	host	gene-R0792_RS10470	False	
gene-R0792_RS24020	62	69	84	51	34	85	62	52	84	29	67	57	host	gene-R0792_RS24020	False	
gene-R0792_RS15570	531	574	560	429	300	625	469	459	321	230	341	330	host	gene-R0792_RS15570	False	
gene-R0792_RS06665	16	38	22	21	6	35	30	13	20	11	19	16	host	gene-R0792_RS06665	False	
gene-R0792_RS11880	27	37	45	47	15	36	26	14	21	12	19	13	host	gene-R0792_RS11880	False	
gene-R0792_RS25450	106	109	126	99	85	120	114	97	121	67	125	98	host	gene-R0792_RS25450	False	
gene-R0792_RS11950	108	104	93	105	45	127	110	91	122	54	82	69	host	gene-R0792_RS11950	False	
gene-R0792_RS00370	64	71	77	51	36	88	71	46	61	51	63	68	host	pirA	False	
gene-R0792_RS21805	284	263	261	245	194	320	285	234	298	214	313	295	host	gmhB	False	
gene-R0792_RS11360	162	181	187	174	84	200	198	136	220	118	163	119	host	fabD	False	
gene-R0792_RS09665	25	26	27	28	13	29	30	25	43	24	40	28	host	hmpA	False	
gene-R0792_RS28535	296	620	251	223	177	295	264	256	266	151	283	240	host	gene-R0792_RS28535	False	
gene-R0792_RS09210	30	29	48	24	12	41	28	22	39	22	27	29	host	gene-R0792_RS09210	False	
gene-R0792_RS04135	76	101	111	74	34	77	83	68	76	23	61	27	host	gene-R0792_RS04135	False	
gene-R0792_RS16975	293	397	319	305	126	391	333	256	442	189	315	246	host	gene-R0792_RS16975	False	
gene-R0792_RS11005	47	63	69	47	31	52	58	51	83	40	59	51	host	gene-R0792_RS11005	False	
gene-R0792_RS02125	5	6	8	2	1	5	10	5	8	1	3	2	host	gene-R0792_RS02125	False	
gene-R0792_RS22920	95	113	142	98	68	154	124	87	145	71	126	101	host	phoB	False	
gene-R0792_RS16275	8	19	18	29	10	19	22	16	21	17	30	18	host	narI	False	
gene-R0792_RS21440	9	4	8	10	2	6	10	11	3	3	7	5	host	tagF	False	
gene-R0792_RS13195	2	7	4	9	0	6	4	5	7	3	5	3	host	gene-R0792_RS13195	False	
gene-R0792_RS09395	230	258	285	233	100	250	231	194	234	111	180	150	host	cysG	False	
gene-R0792_RS13915	48	36	35	27	26	43	40	45	34	23	34	22	host	gene-R0792_RS13915	False	
gene-R0792_RS22805	295	330	308	258	181	375	312	255	339	189	269	259	host	gene-R0792_RS22805	False	
gene-R0792_RS15375	73	87	92	76	41	93	83	66	94	47	89	84	host	xerD	False	
gene-R0792_RS25850	28	40	39	31	16	42	24	46	40	17	24	30	host	gene-R0792_RS25850	False	
gene-R0792_RS09860	14	14	10	11	10	21	18	16	18	11	17	16	host	tse2	False	
gene-R0792_RS14535	18	32	25	31	9	28	24	20	24	16	29	22	host	mmsR	False	
gene-R0792_RS04890	354	466	416	404	255	518	412	364	410	277	377	340	host	cysS	False	
gene-R0792_RS06325	25	32	24	28	14	29	25	23	28	13	16	12	host	gene-R0792_RS06325	False	
gene-R0792_RS04885	455	488	518	431	290	603	440	407	485	321	489	401	host	gene-R0792_RS04885	False	
gene-R0792_RS19460	37	56	46	40	22	80	63	47	80	31	74	54	host	gene-R0792_RS19460	False	
gene-R0792_RS20110	49	55	55	38	24	69	51	44	48	20	65	42	host	gene-R0792_RS20110	False	
gene-R0792_RS23085	35	34	37	19	18	49	29	27	41	19	37	23	host	gene-R0792_RS23085	False	
gene-R0792_RS03340	4	5	5	2	2	5	0	1	5	0	3	1	host	pyk	False	
gene-R0792_RS02475	28	36	36	30	25	42	49	23	43	19	42	32	host	gene-R0792_RS02475	False	
gene-R0792_RS09135	11	10	12	11	5	6	8	11	13	7	8	9	host	trbE	False	
gene-R0792_RS21410	362	385	334	306	341	371	329	373	272	204	357	294	host	tssA	False	
gene-R0792_RS02060	11	4	12	8	0	13	9	12	5	8	8	6	host	gene-R0792_RS02060	False	
gene-R0792_RS23695	464	583	630	461	220	655	563	390	594	276	452	333	host	gene-R0792_RS23695	False	
gene-R0792_RS16930	196	254	315	252	155	390	311	237	323	209	279	273	host	gene-R0792_RS16930	False	
gene-R0792_RS00110	2	5	2	3	1	5	5	3	3	0	3	2	host	gene-R0792_RS00110	False	
gene-R0792_RS20955	15	16	5	9	3	11	17	11	34	11	27	14	host	siaB	False	
gene-R0792_RS16650	172	171	180	143	85	199	156	158	182	93	153	148	host	tesB	False	
gene-R0792_RS04370	12	14	28	14	4	8	22	3	7	7	9	6	host	pscT	False	
gene-R0792_RS25330	3	1	3	2	0	3	5	2	5	1	0	3	host	gene-R0792_RS25330	False	
gene-R0792_RS08615	1	5	2	5	1	2	4	2	4	0	3	2	host	gene-R0792_RS08615	False	
gene-R0792_RS17080	4	10	10	8	10	13	13	9	15	7	17	10	host	gene-R0792_RS17080	False	
gene-R0792_RS12195	3	14	9	11	5	12	14	3	18	6	10	4	host	gene-R0792_RS12195	False	
gene-R0792_RS21255	8	8	7	7	6	12	5	4	2	1	6	0	host	gene-R0792_RS21255	False	
gene-R0792_RS01480	2	0	2	1	1	0	0	3	4	1	1	0	host	gene-R0792_RS01480	False	
gene-R0792_RS00720	533	635	589	547	261	523	462	425	296	185	238	215	host	pqsD	False	
gene-R0792_RS17650	3	4	5	3	1	6	1	1	3	2	3	1	host	gene-R0792_RS17650	False	
gene-R0792_RS22155	2	3	2	5	2	6	1	3	5	3	2	2	host	qapR	False	
gene-R0792_RS15670	44	41	29	21	28	35	36	40	31	16	25	35	host	gene-R0792_RS15670	False	
gene-R0792_RS28910	185	228	215	170	85	226	176	143	279	132	210	165	host	gene-R0792_RS28910	False	
gene-R0792_RS19950	154	170	156	156	87	206	168	130	209	107	168	161	host	gene-R0792_RS19950	False	
gene-R0792_RS15565	162	140	146	117	99	188	130	144	116	54	115	90	host	gene-R0792_RS15565	False	
gene-R0792_RS11255	4	4	3	2	0	2	3	1	4	4	2	2	host	gene-R0792_RS11255	False	
gene-R0792_RS17125	16	18	14	15	15	28	23	21	23	19	25	13	host	gene-R0792_RS17125	False	
gene-R0792_RS07710	0	5	1	1	1	3	2	2	1	0	2	0	host	gene-R0792_RS07710	False	
gene-R0792_RS16100	61	54	78	66	47	117	73	66	103	64	109	64	host	rlmF	False	
gene-R0792_RS24830	9	19	20	16	13	25	12	12	21	8	18	13	host	gene-R0792_RS24830	False	
gene-R0792_RS26000	117	152	106	127	77	176	136	124	161	78	164	150	host	recN	False	
gene-R0792_RS19025	38	39	39	33	24	44	39	28	29	27	25	25	host	gene-R0792_RS19025	False	
gene-R0792_RS24135	91	93	84	72	55	113	95	78	109	66	86	72	host	trmL	False	
gene-R0792_RS10255	35	52	44	48	34	65	47	42	70	37	45	53	host	gene-R0792_RS10255	False	
gene-R0792_RS03260	163	185	220	186	63	196	192	112	217	74	145	111	host	ccmI	False	
gene-R0792_RS13130	279	316	343	320	171	371	299	257	355	222	306	237	host	gene-R0792_RS13130	False	
gene-R0792_RS26020	303	379	333	370	168	375	270	277	146	90	161	120	host	dapB	False	
gene-R0792_RS27870	77	72	93	66	40	135	104	98	64	39	58	56	host	gene-R0792_RS27870	False	
gene-R0792_RS21415	333	396	418	331	212	397	382	369	356	232	334	305	host	tagH	False	
gene-R0792_RS13260	244	232	215	237	118	253	242	153	328	176	265	242	host	rapA	False	
gene-R0792_RS01440	80	73	106	73	54	98	95	79	46	33	63	51	host	hchA	False	
gene-R0792_RS21270	202	275	267	222	165	304	243	202	249	111	220	158	host	gene-R0792_RS21270	False	
gene-R0792_RS27650	51	46	68	29	38	56	72	46	44	26	51	39	host	gene-R0792_RS27650	False	
gene-R0792_RS18620	106	141	172	112	78	149	93	126	139	100	114	122	host	gene-R0792_RS18620	False	
gene-R0792_RS15170	265	278	255	274	164	297	235	204	276	147	230	216	host	gene-R0792_RS15170	False	
gene-R0792_RS24040	27	26	23	19	12	29	13	26	46	15	30	17	host	gene-R0792_RS24040	False	
gene-R0792_RS09325	10	12	8	4	7	11	14	7	7	4	9	13	host	gene-R0792_RS09325	False	
gene-R0792_RS10515	126	136	103	102	76	139	118	96	109	67	104	94	host	gene-R0792_RS10515	False	
gene-R0792_RS24305	29	35	42	21	12	28	38	16	36	20	26	12	host	hutH	False	
gene-R0792_RS17205	312	364	385	337	145	374	338	285	443	219	321	244	host	ribE	False	
gene-R0792_RS21395	267	344	287	291	191	338	292	236	299	208	327	251	host	hcp	False	
gene-R0792_RS26780	2	4	5	2	1	3	3	5	7	5	3	2	host	gene-R0792_RS26780	False	
gene-R0792_RS19945	59	74	81	72	28	80	64	40	132	46	102	64	host	mutM	False	
gene-R0792_RS29500	298	326	248	233	258	338	301	297	248	223	295	265	host	cysE	False	
gene-R0792_RS16140	74	78	67	84	35	87	68	58	76	51	69	55	host	gene-R0792_RS16140	False	
gene-R0792_RS24805	68	91	72	51	93	199	164	150	211	113	168	182	host	gene-R0792_RS24805	False	
gene-R0792_RS05915	26	41	32	29	14	27	19	16	18	20	23	16	host	pqqE	False	
gene-R0792_RS21315	98	77	97	104	60	120	93	81	89	47	81	54	host	gene-R0792_RS21315	False	
gene-R0792_RS02440	31	50	54	41	24	69	35	42	62	42	50	36	host	gene-R0792_RS02440	False	
gene-R0792_RS17175	202	234	238	149	95	227	210	144	205	101	193	164	host	ribA	False	
gene-R0792_RS03970	40	49	27	32	26	46	46	41	54	23	46	43	host	gene-R0792_RS03970	False	
gene-R0792_RS01845	64	52	77	52	27	66	73	46	46	28	36	31	host	ycaC	False	
gene-R0792_RS21005	139	156	174	167	75	161	137	118	148	96	149	115	host	gene-R0792_RS21005	False	
gene-R0792_RS02095	78	73	86	72	18	43	41	29	27	14	23	16	host	aprE	False	
gene-R0792_RS12625	20	24	24	25	6	20	33	27	33	17	33	14	host	gene-R0792_RS12625	False	
gene-R0792_RS01900	4	5	2	1	2	1	4	1	3	1	3	2	host	gene-R0792_RS01900	False	
gene-R0792_RS17415	6	7	12	8	8	15	15	11	22	10	29	24	host	gene-R0792_RS17415	False	
gene-R0792_RS06750	3	10	4	4	2	3	5	2	2	6	4	3	host	gene-R0792_RS06750	False	
gene-R0792_RS15800	68	79	94	67	37	109	95	64	84	42	95	68	host	gene-R0792_RS15800	False	
gene-R0792_RS19210	8	11	12	12	2	7	8	11	15	10	9	9	host	bioD	False	
gene-R0792_RS13410	109	146	113	96	78	143	84	109	109	65	111	89	host	gene-R0792_RS13410	False	
gene-R0792_RS21010	60	52	50	36	38	34	35	29	40	38	52	47	host	gene-R0792_RS21010	False	
gene-R0792_RS14065	36	54	48	47	20	52	51	34	40	24	42	35	host	gene-R0792_RS14065	False	
gene-R0792_RS08240	99	118	119	122	44	120	109	73	82	31	48	50	host	gene-R0792_RS08240	False	
gene-R0792_RS19335	8	10	22	20	6	20	15	12	23	7	15	16	host	gene-R0792_RS19335	False	
gene-R0792_RS23650	55	63	49	53	39	79	53	64	57	43	64	62	host	gene-R0792_RS23650	False	
gene-R0792_RS14975	60	67	77	60	31	98	105	72	115	53	73	51	host	dapC	False	
gene-R0792_RS10800	80	94	91	87	45	94	95	58	82	58	100	61	host	gene-R0792_RS10800	False	
gene-R0792_RS22700	6	9	11	8	2	16	4	9	11	8	9	6	host	dgcB	False	
gene-R0792_RS02425	10	13	18	11	6	9	14	9	10	7	12	12	host	gene-R0792_RS02425	False	
gene-R0792_RS28585	116	139	128	135	55	127	130	83	143	95	134	111	host	gene-R0792_RS28585	False	
gene-R0792_RS11115	5	4	5	4	2	8	2	3	7	6	4	3	host	gene-R0792_RS11115	False	
gene-DMS3-20	4	8	1	6	8	14	10	13	85	58	73	69	phage	gene-DMS3-20	False	
gene-R0792_RS09515	63	69	79	68	30	84	66	61	83	48	61	60	host	gene-R0792_RS09515	False	
gene-R0792_RS06860	1	0	2	1	0	1	1	1	3	2	0	1	host	gene-R0792_RS06860	False	
gene-R0792_RS09300	11	14	13	6	2	11	15	6	20	5	13	10	host	qteE	False	
gene-R0792_RS25625	7	13	11	15	3	19	17	10	18	3	15	7	host	cntI	False	
gene-R0792_RS01595	15	22	22	26	5	15	18	11	15	13	17	12	host	gene-R0792_RS01595	False	
gene-R0792_RS24230	201	247	207	147	163	292	220	205	257	140	238	212	host	bamE	False	
gene-R0792_RS22170	114	123	102	114	57	117	100	82	111	73	132	118	host	gene-R0792_RS22170	False	
gene-R0792_RS13905	101	147	133	129	28	82	79	77	78	38	56	32	host	gene-R0792_RS13905	False	
gene-R0792_RS24110	5	8	12	14	3	11	11	5	12	5	8	9	host	gene-R0792_RS24110	False	
gene-R0792_RS25685	32	36	35	55	6	27	32	17	70	25	44	31	host	gene-R0792_RS25685	False	
gene-R0792_RS03390	81	83	100	73	51	92	76	80	65	47	70	76	host	gene-R0792_RS03390	False	
gene-R0792_RS04985	166	171	158	138	98	180	163	162	118	85	126	151	host	gene-R0792_RS04985	False	
gene-R0792_RS11920	61	62	68	48	12	86	74	41	81	29	73	48	host	gene-R0792_RS11920	False	
gene-R0792_RS01000	56	79	79	55	24	52	54	44	43	22	41	38	host	gene-R0792_RS01000	False	
gene-R0792_RS22405	410	399	327	335	341	442	364	322	345	280	407	363	host	gene-R0792_RS22405	False	
gene-DMS3-47	2	4	4	1	1	4	6	2	29	16	39	30	phage	gene-DMS3-47	False	
gene-R0792_RS17680	4	5	9	6	2	4	11	1	10	3	5	5	host	gene-R0792_RS17680	False	
gene-R0792_RS22550	127	138	141	82	61	175	151	130	198	116	206	147	host	aspA	False	
gene-R0792_RS25390	241	219	197	182	148	289	288	229	266	176	260	205	host	gene-R0792_RS25390	False	
gene-R0792_RS18650	114	160	157	118	82	155	126	110	130	75	144	115	host	prtR	False	
gene-R0792_RS07600	10	9	9	6	1	7	7	3	3	3	8	3	host	gene-R0792_RS07600	False	
gene-R0792_RS19330	17	19	27	11	12	22	14	8	17	5	14	15	host	gene-R0792_RS19330	False	
gene-R0792_RS06075	122	182	171	167	51	182	183	144	233	124	170	129	host	amrR	False	
gene-R0792_RS02600	26	31	25	23	18	40	26	32	32	26	24	26	host	gene-R0792_RS02600	False	
gene-R0792_RS12160	14	6	21	10	6	12	11	7	15	2	7	8	host	gene-R0792_RS12160	False	
gene-R0792_RS15250	40	31	43	28	27	42	34	36	30	9	30	20	host	gene-R0792_RS15250	False	
gene-R0792_RS15650	14	9	9	13	5	15	12	13	9	8	16	9	host	merD	False	
gene-R0792_RS08280	71	80	71	70	22	69	60	44	87	32	70	39	host	gene-R0792_RS08280	False	
gene-R0792_RS27925	240	247	215	183	125	274	258	206	263	164	257	205	host	ampD	False	
gene-R0792_RS03545	32	27	23	29	20	41	26	20	31	28	41	30	host	gene-R0792_RS03545	False	
gene-R0792_RS24920	160	188	187	155	99	208	202	132	205	128	165	159	host	gene-R0792_RS24920	False	
gene-R0792_RS18000	20	39	36	30	2	22	10	7	19	7	13	3	host	phzD	False	
gene-R0792_RS25495	1	3	3	6	4	3	5	0	7	2	3	1	host	urtC	False	
gene-R0792_RS04535	13	11	18	12	1	17	21	6	11	3	8	7	host	pscK	False	
gene-R0792_RS20950	28	31	25	23	13	27	36	19	67	20	47	47	host	siaA	False	
gene-R0792_RS24380	25	23	42	26	9	42	21	14	32	8	29	17	host	dtd	False	
gene-R0792_RS28675	146	159	165	137	80	191	169	133	232	112	185	126	host	mexV	False	
gene-R0792_RS07675	77	127	119	114	61	119	104	80	155	104	166	141	host	gene-R0792_RS07675	False	
gene-R0792_RS08990	10	6	2	8	5	5	11	6	12	4	11	6	host	gene-R0792_RS08990	False	
gene-R0792_RS22205	340	349	350	383	271	590	391	364	401	249	322	281	host	gene-R0792_RS22205	False	
gene-R0792_RS29950	39	39	44	44	16	39	36	23	37	24	32	25	host	gene-R0792_RS29950	False	
gene-R0792_RS27360	41	45	32	51	30	54	33	32	38	21	46	34	host	gene-R0792_RS27360	False	
gene-R0792_RS06165	112	93	98	89	84	104	102	106	100	80	100	85	host	gene-R0792_RS06165	False	
gene-R0792_RS23500	114	101	109	87	62	147	112	111	123	86	112	87	host	gene-R0792_RS23500	False	
gene-R0792_RS08905	48	48	51	33	28	75	52	44	70	37	53	46	host	gene-R0792_RS08905	False	
gene-R0792_RS20325	39	39	48	30	21	63	53	53	89	49	80	64	host	gene-R0792_RS20325	False	
gene-R0792_RS27190	21	33	26	35	11	15	32	16	19	15	23	20	host	gene-R0792_RS27190	False	
gene-R0792_RS27855	75	108	94	71	57	125	95	76	97	69	97	77	host	gene-R0792_RS27855	False	
gene-R0792_RS24845	16	30	33	27	12	29	26	20	27	11	28	16	host	gene-R0792_RS24845	False	
gene-R0792_RS01920	39	45	35	31	15	40	31	27	29	26	43	28	host	gene-R0792_RS01920	False	
gene-R0792_RS29080	36	43	38	23	37	52	35	33	32	24	37	42	host	fppA	False	
gene-R0792_RS13055	34	60	62	37	7	41	49	23	50	17	29	21	host	gene-R0792_RS13055	False	
gene-R0792_RS25335	26	22	32	18	19	9	14	13	14	6	16	12	host	ureE	False	
gene-R0792_RS11910	53	54	54	50	12	59	57	37	57	29	53	41	host	cprS	False	
gene-R0792_RS08525	200	193	222	206	100	306	225	195	326	126	229	207	host	mexS	False	
gene-R0792_RS13445	204	169	181	182	121	238	175	187	222	131	195	176	host	htpB	False	
gene-R0792_RS21065	1	0	1	2	0	1	1	3	2	1	3	0	host	gene-R0792_RS21065	False	
gene-R0792_RS24925	120	211	180	144	71	242	189	146	295	126	198	187	host	gene-R0792_RS24925	False	
gene-R0792_RS04035	2	6	4	1	3	5	1	2	2	3	2	1	host	gene-R0792_RS04035	False	
gene-R0792_RS00435	422	438	455	392	282	486	389	370	445	298	472	439	host	gene-R0792_RS00435	False	
gene-R0792_RS02680	15	9	9	10	2	18	13	10	11	10	15	5	host	gene-R0792_RS02680	False	
gene-R0792_RS23365	202	272	304	237	73	276	282	182	295	125	236	167	host	gene-R0792_RS23365	False	
gene-R0792_RS08345	83	68	51	53	45	51	30	30	21	31	48	41	host	gene-R0792_RS08345	False	
gene-R0792_RS14935	189	226	221	193	76	261	259	173	312	139	225	198	host	cdsA	False	
gene-R0792_RS08860	16	19	21	13	3	12	19	15	20	7	15	8	host	gene-R0792_RS08860	False	
gene-R0792_RS15835	190	205	218	189	103	242	213	178	237	134	210	165	host	gene-R0792_RS15835	False	
gene-R0792_RS13835	23	40	45	34	12	46	56	37	83	24	53	32	host	pdhA	False	
gene-R0792_RS09160	4	5	4	3	1	2	2	0	3	0	3	3	host	trbG	False	
gene-R0792_RS16840	179	136	124	106	127	171	129	152	150	112	154	162	host	gene-R0792_RS16840	False	
gene-R0792_RS06145	3	10	9	5	1	3	6	0	7	2	5	8	host	gene-R0792_RS06145	False	
gene-R0792_RS00285	12	20	24	17	5	16	22	16	31	16	20	26	host	gene-R0792_RS00285	False	
gene-R0792_RS10150	16	17	20	20	5	31	22	21	26	10	14	15	host	gene-R0792_RS10150	False	
gene-R0792_RS11175	3	2	5	2	2	2	4	3	5	1	2	0	host	gene-R0792_RS11175	False	
gene-R0792_RS09830	80	89	76	71	80	88	91	82	56	50	77	88	host	gene-R0792_RS09830	False	
gene-R0792_RS05775	22	14	18	21	14	18	19	22	18	9	14	18	host	azoR2	False	
gene-R0792_RS07610	28	27	31	24	13	45	24	28	37	13	37	30	host	gene-R0792_RS07610	False	
gene-R0792_RS19575	387	438	462	406	206	402	376	283	327	199	281	291	host	gene-R0792_RS19575	False	
gene-R0792_RS28755	4	4	9	2	3	9	7	3	3	2	3	2	host	feoA	False	
gene-R0792_RS16400	44	48	45	54	31	80	72	54	59	37	72	53	host	gene-R0792_RS16400	False	
gene-R0792_RS23915	308	310	301	241	240	378	311	294	388	360	473	443	host	gene-R0792_RS23915_gene_dctP	False	
gene-R0792_RS27535	104	104	103	73	72	124	105	97	98	88	110	97	host	gene-R0792_RS27535	False	
gene-R0792_RS05390	140	168	152	139	49	179	138	124	117	71	116	89	host	gene-R0792_RS05390	False	
gene-R0792_RS23765	43	52	41	52	25	65	51	32	62	28	63	51	host	gene-R0792_RS23765	False	
gene-R0792_RS02715	35	46	52	37	37	44	53	55	47	23	39	44	host	gene-R0792_RS02715	False	
gene-R0792_RS29760	50	44	50	40	15	40	46	33	45	28	39	41	host	cmoB	False	
gene-R0792_RS06455	7	0	2	4	3	2	2	5	6	1	3	1	host	gene-R0792_RS06455	False	
gene-R0792_RS09905	9	19	20	13	6	18	18	8	35	17	20	7	host	gene-R0792_RS09905	False	
gene-R0792_RS14800	242	271	286	259	117	293	290	218	315	155	265	176	host	gene-R0792_RS14800	False	
gene-R0792_RS09190	62	96	78	61	72	154	104	93	52	44	79	80	host	alkB1	False	
gene-R0792_RS02465	9	9	8	7	5	16	10	10	13	7	14	6	host	cyoD	False	
gene-R0792_RS17140	40	26	37	40	19	60	45	27	39	20	33	28	host	gene-R0792_RS17140	False	
gene-R0792_RS25750	188	197	204	204	75	191	168	120	130	79	103	106	host	gene-R0792_RS25750	False	
gene-R0792_RS27710	82	81	80	72	51	98	72	68	69	35	67	76	host	gene-R0792_RS27710	False	
gene-R0792_RS00605	469	472	395	335	278	506	376	333	337	268	374	327	host	queC	False	
gene-R0792_RS17105	4	7	7	6	8	11	4	4	4	5	3	6	host	mucE	False	
gene-R0792_RS08700	20	23	29	16	15	19	31	19	32	16	22	21	host	opmB	False	
gene-R0792_RS05935	21	26	27	19	13	22	19	11	27	10	32	14	host	gene-R0792_RS05935	False	
gene-R0792_RS06245	12	14	9	15	4	15	14	5	15	5	8	9	host	cynR	False	
gene-R0792_RS14580	521	627	585	505	291	586	431	373	466	216	369	275	host	ybaK	False	
gene-R0792_RS15065	95	97	100	73	55	109	93	59	124	47	88	76	host	mexJ	False	
gene-R0792_RS06810	38	30	42	22	30	53	47	46	38	23	41	29	host	gene-R0792_RS06810	False	
gene-R0792_RS23660	49	52	58	52	37	131	118	73	195	151	192	131	host	gene-R0792_RS23660	False	
gene-R0792_RS12780	13	27	21	19	34	29	14	24	14	21	23	20	host	gene-R0792_RS12780	False	
gene-R0792_RS00775	461	396	445	334	215	488	408	335	446	270	413	349	host	dapA	False	
gene-R0792_RS12740	52	46	48	30	27	38	37	27	68	63	68	64	host	gene-R0792_RS12740	False	
gene-R0792_RS24535	198	225	204	214	105	306	269	203	340	160	222	153	host	gene-R0792_RS24535	False	
gene-R0792_RS02110	83	102	66	64	53	71	59	46	57	35	74	51	host	aprI	False	
gene-R0792_RS06540	4	6	13	5	1	7	7	2	6	2	8	5	host	gene-R0792_RS06540	False	
gene-R0792_RS13975	19	11	13	7	7	20	8	16	14	5	24	12	host	gene-R0792_RS13975	False	
gene-R0792_RS09140	6	6	7	9	3	6	5	3	7	2	3	4	host	trbJ	False	
gene-R0792_RS23340	350	459	484	454	155	439	424	317	494	292	425	319	host	lptM	False	
gene-R0792_RS17835	172	161	195	154	120	212	178	147	168	100	177	161	host	piv	False	
gene-R0792_RS25970	88	84	97	83	39	77	98	70	109	52	77	57	host	gene-R0792_RS25970	False	
gene-R0792_RS08065	3	4	7	3	3	4	8	2	2	2	3	1	host	gene-R0792_RS08065	False	
gene-R0792_RS11510	322	363	374	326	208	404	354	305	407	269	351	309	host	gene-R0792_RS11510	False	
gene-R0792_RS21245	229	248	281	183	132	258	211	166	177	105	171	148	host	senC	False	
gene-R0792_RS15175	212	184	171	142	126	218	188	166	137	87	150	151	host	gene-R0792_RS15175	False	
gene-R0792_RS16050	61	54	64	49	52	64	63	48	35	26	53	58	host	gene-R0792_RS16050	False	
gene-R0792_RS26210	32	30	43	24	6	40	29	17	56	19	43	25	host	gluQRS	False	
gene-R0792_RS06400	3	6	1	1	0	2	1	2	1	0	2	3	host	gene-R0792_RS06400	False	
gene-R0792_RS26345	93	95	92	88	46	104	76	63	82	42	71	82	host	gene-R0792_RS26345	False	
gene-R0792_RS05145	39	49	47	43	22	49	38	47	48	31	46	34	host	gene-R0792_RS05145	False	
gene-R0792_RS07410	16	14	13	8	5	12	15	4	16	8	11	6	host	gene-R0792_RS07410	False	
gene-R0792_RS12120	396	382	486	408	217	482	384	350	502	291	469	374	host	asd	False	
gene-R0792_RS11075	3	5	0	5	3	4	3	2	5	4	7	5	host	gene-R0792_RS11075	False	
gene-R0792_RS08865	277	254	232	174	146	254	188	180	181	113	200	158	host	gene-R0792_RS08865	False	
gene-R0792_RS20790	19	26	24	25	13	41	35	26	51	13	31	13	host	gene-R0792_RS20790	False	
gene-R0792_RS04325	190	197	187	162	169	246	167	159	195	111	202	159	host	gene-R0792_RS04325	False	
gene-R0792_RS01570	13	17	14	14	9	14	13	10	20	7	10	14	host	gene-R0792_RS01570	False	
gene-R0792_RS02760	205	187	175	145	119	159	110	131	82	71	115	107	host	gene-R0792_RS02760	False	
gene-R0792_RS06460	7	8	6	5	0	8	2	3	7	4	3	7	host	gene-R0792_RS06460	False	
gene-R0792_RS05900	28	23	25	18	20	39	40	25	33	18	38	26	host	pqqB	False	
gene-R0792_RS00445	113	139	142	111	63	155	154	90	176	98	172	122	host	purM	False	
gene-R0792_RS24400	169	193	154	145	132	176	173	139	217	163	238	191	host	gene-R0792_RS24400	False	
gene-R0792_RS01615	17	17	17	29	8	31	25	16	29	21	27	25	host	gene-R0792_RS01615	False	
gene-R0792_RS22490	46	68	72	50	22	73	57	35	76	31	48	55	host	yegQ	False	
gene-R0792_RS15225	66	65	83	78	40	67	64	49	72	49	82	66	host	gene-R0792_RS15225	False	
gene-R0792_RS06930	71	73	62	51	30	65	46	36	34	21	26	17	host	gene-R0792_RS06930	False	
gene-R0792_RS16780	8	11	2	3	3	7	12	4	14	5	6	9	host	gene-R0792_RS16780	False	
gene-R0792_RS22530	9	15	20	18	5	14	25	8	30	10	11	17	host	gene-R0792_RS22530	False	
gene-R0792_RS15775	7	7	5	4	3	6	5	2	11	7	8	4	host	gene-R0792_RS15775	False	
gene-R0792_RS21025	37	22	36	28	8	26	21	12	31	14	21	32	host	triB	False	
gene-R0792_RS30225	99	125	153	136	58	148	164	121	177	99	148	113	host	gene-R0792_RS30225	False	
gene-R0792_RS21340	354	390	393	327	202	432	342	324	406	175	329	279	host	vgrG1b	False	
gene-R0792_RS08460	16	22	16	18	8	10	12	10	10	8	5	13	host	dsbD	False	
gene-R0792_RS23670	188	206	238	195	88	231	217	171	297	156	280	184	host	gcvT	False	
gene-R0792_RS19485	52	66	49	65	13	79	50	32	58	31	53	42	host	gene-R0792_RS19485	False	
gene-R0792_RS01945	54	92	93	74	42	103	96	62	120	61	81	63	host	gene-R0792_RS01945	False	
gene-R0792_RS17950	5	4	5	6	1	7	5	2	9	4	4	8	host	nmoR	False	
gene-R0792_RS18755	70	124	132	86	52	164	155	92	176	80	122	93	host	gene-R0792_RS18755	False	
gene-R0792_RS13965	4	9	9	7	2	6	7	1	8	2	6	5	host	ssuC	False	
gene-R0792_RS13070	10	11	16	16	3	18	14	10	17	8	21	7	host	gene-R0792_RS13070	False	
gene-R0792_RS23690	23	27	18	20	8	15	16	15	25	6	10	6	host	gene-R0792_RS23690	False	
gene-R0792_RS19225	16	25	21	11	3	18	23	17	26	10	25	20	host	bioF	False	
gene-R0792_RS29680	60	53	86	46	24	57	73	39	70	31	57	359	host	gene-R0792_RS29680	False	
gene-R0792_RS12840	194	206	157	124	166	195	145	131	100	111	142	151	host	gene-R0792_RS12840	False	
gene-R0792_RS10445	52	66	78	41	42	77	57	52	87	41	75	51	host	pilZ	False	
gene-R0792_RS19590	497	590	585	483	275	555	495	426	536	323	435	422	host	mexA	False	
